CODGEO;POPU;MEDECINS
02542;96,0;0,00
02543;2166,0;6,00
02544;604,0;0,00
02545;188,0;0,00
02546;185,0;0,00
02547;62,0;0,00
02548;396,0;0,00
02549;887,0;1,00
02550;100,0;0,00
02551;122,0;0,00
02552;190,0;0,00
02553;256,0;0,00
02554;1012,0;0,00
02555;2129,0;4,00
02556;89,0;0,00
02557;152,0;0,00
02558;2804,0;10,00
02559;535,0;1,00
02560;275,0;0,00
02561;159,0;0,00
02562;227,0;0,00
02563;171,0;0,00
02564;487,0;0,00
02565;281,0;0,00
02566;1180,0;2,00
02567;307,0;0,00
02568;137,0;0,00
02569;437,0;0,00
02570;166,0;0,00
02571;777,0;0,00
02572;500,0;0,00
02573;71,0;0,00
02574;1562,0;3,00
02575;1716,0;13,00
02576;301,0;0,00
02577;80,0;0,00
02578;75,0;0,00
02579;126,0;0,00
02580;827,0;2,00
02581;294,0;0,00
02582;69,0;0,00
02583;48,0;0,00
02584;108,0;0,00
02585;250,0;0,00
02586;150,0;0,00
02587;348,0;0,00
02588;62,0;0,00
02589;239,0;0,00
02590;175,0;0,00
02591;134,0;0,00
02592;243,0;0,00
02593;1031,0;0,00
02594;166,0;0,00
02595;156,0;0,00
02596;806,0;0,00
02597;81,0;0,00
02598;704,0;0,00
02599;273,0;0,00
02600;396,0;0,00
02601;176,0;2,00
02602;1810,0;5,00
02604;72,0;0,00
02605;180,0;0,00
02606;75,0;0,00
02607;81,0;0,00
02608;472,0;1,00
02609;22,0;0,00
02610;626,0;0,00
02612;129,0;0,00
02613;594,0;0,00
02614;284,0;0,00
02615;336,0;0,00
02616;191,0;0,00
02617;515,0;0,00
02618;757,0;0,00
02619;772,0;2,00
02620;362,0;0,00
02621;394,0;0,00
02622;53,0;0,00
02623;113,0;0,00
02624;322,0;0,00
02625;149,0;0,00
02626;382,0;0,00
02627;119,0;0,00
02628;220,0;0,00
02629;295,0;0,00
02631;450,0;0,00
02632;58,0;0,00
02633;65,0;0,00
02634;86,0;0,00
02635;169,0;0,00
02636;208,0;0,00
02637;317,0;0,00
02638;239,0;0,00
02639;393,0;0,00
02640;170,0;0,00
02641;133,0;0,00
02642;175,0;0,00
02643;768,0;0,00
02644;386,0;0,00
02645;226,0;0,00
02646;71,0;0,00
02647;79,0;0,00
02648;1961,0;7,00
02649;304,0;0,00
02650;391,0;0,00
02651;93,0;0,00
02652;105,0;0,00
02653;486,0;0,00
02654;86,0;0,00
02655;132,0;0,00
02656;397,0;0,00
02657;227,0;0,00
02658;235,0;0,00
02659;468,0;0,00
02660;42,0;0,00
02661;202,0;0,00
02662;283,0;0,00
02663;230,0;0,00
02664;105,0;0,00
02665;302,0;0,00
02666;1021,0;2,00
02667;217,0;0,00
02668;1033,0;4,00
02669;103,0;0,00
02670;160,0;0,00
02671;324,0;0,00
02672;279,0;0,00
02673;426,0;0,00
02674;52,0;0,00
02675;136,0;0,00
02676;1844,0;7,00
02677;244,0;0,00
02678;76,0;0,00
02679;151,0;0,00
02680;2325,0;5,00
02681;312,0;0,00
02682;113,0;0,00
02683;129,0;0,00
02684;3548,0;9,00
02685;112,0;0,00
02686;396,0;0,00
02687;350,0;0,00
02688;66,0;0,00
02689;57,0;0,00
02690;84,0;0,00
02691;56278,0;277,00
02693;229,0;0,00
02694;615,0;2,00
02695;62,0;0,00
02696;103,0;0,00
02697;327,0;0,00
02698;111,0;0,00
02699;261,0;0,00
02701;652,0;1,00
02702;602,0;1,00
02703;1089,0;1,00
02704;235,0;0,00
02705;203,0;0,00
02706;587,0;0,00
02707;177,0;0,00
02708;226,0;0,00
02709;393,0;0,00
02710;786,0;1,00
02711;315,0;0,00
02712;164,0;0,00
02713;292,0;0,00
02714;329,0;0,00
02715;47,0;0,00
02716;293,0;0,00
02717;637,0;0,00
02718;130,0;0,00
02719;2134,0;4,00
02720;2069,0;10,00
02721;483,0;0,00
02722;28551,0;184,00
02723;96,0;0,00
02724;59,0;0,00
02725;134,0;0,00
02726;157,0;0,00
02727;229,0;0,00
02728;278,0;0,00
02729;90,0;0,00
02730;296,0;0,00
02731;164,0;0,00
02732;102,0;0,00
02733;308,0;1,00
02734;267,0;0,00
02735;14,0;0,00
02736;193,0;0,00
02737;606,0;1,00
02738;14135,0;44,00
02739;309,0;0,00
02740;254,0;0,00
02741;561,0;0,00
02742;104,0;0,00
02743;173,0;0,00
02744;83,0;0,00
02745;132,0;0,00
02746;658,0;0,00
02747;86,0;0,00
02748;981,0;0,00
02749;239,0;0,00
02750;596,0;0,00
02751;156,0;0,00
02752;286,0;0,00
02753;360,0;0,00
02754;168,0;0,00
02755;539,0;4,00
02756;613,0;0,00
02757;618,0;0,00
02758;2073,0;10,00
02759;375,0;0,00
02760;153,0;0,00
02761;220,0;0,00
02762;173,0;0,00
02763;209,0;0,00
02764;68,0;0,00
02765;215,0;0,00
02766;256,0;0,00
02767;337,0;0,00
02768;509,0;0,00
02769;960,0;1,00
02770;770,0;1,00
02771;103,0;0,00
02772;130,0;0,00
02773;50,0;0,00
02774;109,0;0,00
02775;916,0;1,00
02776;532,0;1,00
02777;154,0;0,00
02778;116,0;0,00
02779;221,0;0,00
02780;1345,0;5,00
02781;433,0;0,00
02782;220,0;0,00
02783;152,0;0,00
02784;182,0;0,00
02785;1047,0;4,00
02786;128,0;0,00
02787;264,0;0,00
02788;471,0;0,00
02789;2614,0;17,00
02790;235,0;0,00
02791;260,0;0,00
02792;140,0;0,00
02793;131,0;0,00
02794;192,0;0,00
02795;1755,0;7,00
02796;91,0;0,00
02797;177,0;0,00
02798;1063,0;1,00
02799;443,0;1,00
02800;334,0;0,00
02801;284,0;0,00
02802;175,0;0,00
02803;122,0;0,00
02804;206,0;0,00
02805;2461,0;6,00
02806;277,0;0,00
02807;634,0;0,00
02808;314,0;0,00
02809;95,0;0,00
02810;10411,0;38,00
02811;126,0;1,00
02812;229,0;0,00
02813;285,0;0,00
02814;161,0;0,00
02815;473,0;0,00
02816;499,0;0,00
02817;59,0;0,00
02818;1042,0;3,00
02819;125,0;0,00
02820;1802,0;3,00
02821;765,0;0,00
02822;407,0;0,00
02823;68,0;0,00
02824;385,0;0,00
02826;411,0;0,00
02827;282,0;1,00
02828;90,0;0,00
02829;35,0;0,00
02830;971,0;3,00
02831;372,0;0,00
02832;227,0;0,00
02833;452,0;0,00
02834;149,0;0,00
03001;2758,0;8,00
03002;348,0;0,00
03003;1036,0;5,00
03004;272,0;0,00
03005;356,0;0,00
03006;671,0;3,00
